table,status,records_after_normalize,with_address,with_address_comment,with_settlement,with_district,with_territory,with_coords,with_event_date,resolved_address,resolved_address_comment,resolved_arrival_time,resolved_casualty_flag,resolved_consequence,resolved_deaths,resolved_destroyed_area,resolved_destroyed_buildings,resolved_detection_time,resolved_distance_to_fire_station,resolved_district,resolved_event_date,resolved_injuries,resolved_latitude,resolved_longitude,resolved_object_category,resolved_object_name,resolved_registered_damage,resolved_report_time,resolved_settlement,resolved_settlement_type,resolved_territory_label,resolved_water_supply_count,resolved_water_supply_details
clean_ekup_2019,ok,11872,0,0,11869,0,11872,0,0,,,Дата и время прибытия,,,Количество погибших в КУП,,,,Удаленность от ближайшей ПЧ,,,Количество травмированных в КУП,,,,Наименование объекта,Зарегистрированный ущерб от пожар,Дата и время сообщения,Наименование населенного пункта,Наименование населенного пункта,,"Количество записей о технике, испо",Спасено на пожаре
clean_ekup_2020,ok,9268,0,0,9214,0,9268,0,0,,,Дата и время прибытия,,,Количество погибших в КУП,,,,Удаленность от ближайшей ПЧ,,,Количество травмированных в КУП,,,,Наименование объекта,Зарегистрированный ущерб от пожар,Дата и время сообщения,Наименование населенного пункта,Наименование населенного пункта,,"Количество записей о технике, испо",Спасено на пожаре
clean_ekup_2021,ok,7926,0,0,7769,0,7926,0,0,,,Дата и время прибытия,,,Количество погибших в КУП,,,,Удаленность от ближайшей ПЧ,,,Количество травмированных в КУП,,,,Наименование объекта,Зарегистрированный ущерб от пожар,Дата и время сообщения,Наименование населенного пункта,Наименование населенного пункта,,"Количество записей о технике, испо",Спасено на пожаре
clean_ekup_2022,ok,8144,0,0,7845,0,8144,0,0,,,Дата и время прибытия,,,Количество погибших в КУП,,,,Удаленность от ближайшей ПЧ,,,Количество травмированных в КУП,,,,Наименование объекта,Зарегистрированный ущерб от пожар,Дата и время сообщения,Наименование населенного пункта,Наименование населенного пункта,,"Количество записей о технике, испо",Спасено на пожаре
clean_ekup_2023,ok,6194,0,0,6008,0,6194,0,0,,,Дата и время прибытия,,,Количество погибших в КУП,,,,Удаленность от ближайшей ПЧ,,,Количество травмированных в КУП,,,,Наименование объекта,Зарегистрированный ущерб от пожар,Дата и время сообщения,Наименование населенного пункта,Наименование населенного пункта,,"Количество записей о технике, испо",Спасено на пожаре
clean_ekup_2024_decoded,ok,5155,0,0,4984,0,5155,0,0,,,ДАТА И ВРЕМЯ ПРИБЫТИЯ,,,КОЛИЧЕСТВО ПОГИБШИХ В КУП,,,,УДАЛЕННОСТЬ ОТ БЛИЖАЙШЕЙ ПЧ,,,КОЛИЧЕСТВО ТРАВМИРОВАННЫХ В КУП,,,,НАИМЕНОВАНИЕ ОБЪЕКТА,ЗАРЕГИСТРИРОВАННЫЙ УЩЕРБ ОТ ПОЖАР,ДАТА И ВРЕМЯ СООБЩЕНИЯ,НАИМЕНОВАНИЕ НАСЕЛЕННОГО ПУНКТА,НАИМЕНОВАНИЕ НАСЕЛЕННОГО ПУНКТА,,"КОЛИЧЕСТВО ЗАПИСЕЙ О ТЕХНИКЕ, ИСПО",СПАСЕНО НА ПОЖАРЕ
clean_ekup_Yemelyanovo_2024,ok,232,232,129,232,232,232,232,232,Адрес,Комментарий к адресу,Время прибытия 1-го ПП,Есть травмированные или погибшие,Время ликвидации последствий пожа,Количество погибших в КУП,"Площадь м2, уничтожено","Здания (сооружения), уничтожено",Время обнаружения,Удаленность от ближайшей ПЧ,ОКТМО. Текст,Дата возникновения пожара,Количество травмированных в КУП,Широта,Долгота,Категория объекта,Наименование объекта,Зарегистрированный ущерб от пожар,Время сообщения,Вид населенного пункта,Вид населенного пункта,ОКТМО. Текст,Количество записей о водоснабжени,Сведения о водоснабжении на пожар
clean_ekup_Yemelyanovo_2025,ok,5887,5887,2343,5887,5887,5887,5887,5887,Адрес,Комментарий к адресу,Время прибытия 1-го ПП,Есть травмированные или погибшие,Время ликвидации последствий пожа,Количество погибших в КУП,"Площадь м2, уничтожено","Здания (сооружения), повреждено",Время обнаружения,Удаленность от ближайшей ПЧ,ОКТМО. Текст,Дата возникновения пожара,Количество травмированных в КУП,Широта,Долгота,Категория объекта,Наименование объекта,Зарегистрированный ущерб от пожар,Время сообщения,Вид населенного пункта,Вид населенного пункта,ОКТМО. Текст,Количество записей о водоснабжени,Сведения о водоснабжении на пожар
clean_STAT1992_decoded,ok,2671,0,0,2671,0,2671,0,2671,,,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,,,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT1993_decoded,ok,9526,0,0,9526,0,9526,0,9526,,,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,,,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F64 | P42_2 | Время сообщения, мин.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
