table,status,missing_runtime,missing_quality,resolved_date,resolved_territory_label,resolved_district,resolved_settlement,resolved_settlement_type,resolved_report_time,resolved_detection_time,resolved_arrival_time,resolved_fire_station_distance,resolved_water_supply_count,resolved_water_supply_details,resolved_consequence,resolved_casualty_flag,resolved_injuries,resolved_deaths,resolved_registered_damage,resolved_destroyed_buildings,resolved_destroyed_area
clean_ekup_2019,OK,,,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,Дата и время сообщения,,Дата и время прибытия,Удаленность от ближайшей ПЧ,"Количество записей о технике, испо",Спасено на пожаре,,,Количество травмированных в КУП,Количество погибших в КУП,Зарегистрированный ущерб от пожар,,
clean_ekup_2020,OK,,,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,Дата и время сообщения,,Дата и время прибытия,Удаленность от ближайшей ПЧ,"Количество записей о технике, испо",Спасено на пожаре,,,Количество травмированных в КУП,Количество погибших в КУП,Зарегистрированный ущерб от пожар,,
clean_ekup_2021,OK,,,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,Дата и время сообщения,,Дата и время прибытия,Удаленность от ближайшей ПЧ,"Количество записей о технике, испо",Спасено на пожаре,,,Количество травмированных в КУП,Количество погибших в КУП,Зарегистрированный ущерб от пожар,,
clean_ekup_2022,OK,,,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,Дата и время сообщения,,Дата и время прибытия,Удаленность от ближайшей ПЧ,"Количество записей о технике, испо",Спасено на пожаре,,,Количество травмированных в КУП,Количество погибших в КУП,Зарегистрированный ущерб от пожар,,
clean_ekup_2023,OK,,,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,Дата и время сообщения,,Дата и время прибытия,Удаленность от ближайшей ПЧ,"Количество записей о технике, испо",Спасено на пожаре,,,Количество травмированных в КУП,Количество погибших в КУП,Зарегистрированный ущерб от пожар,,
clean_ekup_2024_decoded,OK,,,ДАТА И ВРЕМЯ СООБЩЕНИЯ,,,НАИМЕНОВАНИЕ НАСЕЛЕННОГО ПУНКТА,НАИМЕНОВАНИЕ НАСЕЛЕННОГО ПУНКТА,ДАТА И ВРЕМЯ СООБЩЕНИЯ,,ДАТА И ВРЕМЯ ПРИБЫТИЯ,УДАЛЕННОСТЬ ОТ БЛИЖАЙШЕЙ ПЧ,"КОЛИЧЕСТВО ЗАПИСЕЙ О ТЕХНИКЕ, ИСПО",СПАСЕНО НА ПОЖАРЕ,,,КОЛИЧЕСТВО ТРАВМИРОВАННЫХ В КУП,КОЛИЧЕСТВО ПОГИБШИХ В КУП,ЗАРЕГИСТРИРОВАННЫЙ УЩЕРБ ОТ ПОЖАР,,
clean_ekup_Yemelyanovo_2024,OK,,,Дата возникновения пожара,ОКТМО. Текст,ОКТМО. Текст,Вид населенного пункта,Вид населенного пункта,Время сообщения,Время обнаружения,Время прибытия 1-го ПП,Удаленность от ближайшей ПЧ,Количество записей о водоснабжени,Сведения о водоснабжении на пожар,Время ликвидации последствий пожа,Есть травмированные или погибшие,Количество травмированных в КУП,Количество погибших в КУП,Зарегистрированный ущерб от пожар,"Здания (сооружения), уничтожено","Площадь м2, уничтожено"
clean_ekup_Yemelyanovo_2025,OK,,,Дата возникновения пожара,ОКТМО. Текст,ОКТМО. Текст,Вид населенного пункта,Вид населенного пункта,Время сообщения,Время обнаружения,Время прибытия 1-го ПП,Удаленность от ближайшей ПЧ,Количество записей о водоснабжени,Сведения о водоснабжении на пожар,Время ликвидации последствий пожа,Есть травмированные или погибшие,Количество травмированных в КУП,Количество погибших в КУП,Зарегистрированный ущерб от пожар,"Здания (сооружения), повреждено","Площадь м2, уничтожено"
clean_STAT1992_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F63 | P42_1 | Время сообщения, час.",,F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
clean_STAT1993_decoded,OK,,fire_station_distance; damage_any,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,"F64 | P42_2 | Время сообщения, мин.",,F65 | P43_1 | Время прибытия 1 пож. подра,,"F83 | P50_1 | Количество техники, ед",,,,"F83 | P50_1 | Количество техники, ед","F83 | P50_1 | Количество техники, ед",,,
