table,status,records_after_filters,resolved_date,resolved_territory_label,resolved_district,resolved_settlement,resolved_settlement_type,resolved_address,resolved_address_comment
clean_ekup_2019,ok,11872,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,,
clean_ekup_2020,ok,9269,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,,
clean_ekup_2021,ok,7926,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,,
clean_ekup_2022,ok,8145,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,,
clean_ekup_2023,ok,6194,Дата и время сообщения,,,Наименование населенного пункта,Наименование населенного пункта,,
clean_ekup_2024_decoded,ok,5155,ДАТА И ВРЕМЯ СООБЩЕНИЯ,,,НАИМЕНОВАНИЕ НАСЕЛЕННОГО ПУНКТА,НАИМЕНОВАНИЕ НАСЕЛЕННОГО ПУНКТА,,
clean_ekup_Yemelyanovo_2024,ok,232,Дата возникновения пожара,ОКТМО. Текст,ОКТМО. Текст,Вид населенного пункта,Вид населенного пункта,Адрес,Комментарий к адресу
clean_ekup_Yemelyanovo_2025,ok,5887,Дата возникновения пожара,ОКТМО. Текст,ОКТМО. Текст,Вид населенного пункта,Вид населенного пункта,Адрес,Комментарий к адресу
clean_STAT1992_decoded,ok,2671,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,,
clean_STAT1993_decoded,ok,9526,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,,
clean_STAT1994_decoded,ok,8529,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F148 | PRIM | Примечание,F148 | PRIM | Примечание
clean_STAT1995_decoded,ok,8045,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F148 | PRIM | Примечание,F148 | PRIM | Примечание
clean_STAT1996_decoded,ok,7756,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,PRIM,PRIM
clean_STAT1997_decoded,ok,7195,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,PRIM,PRIM
clean_STAT1998_decoded,ok,6913,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,PRIM,PRIM
clean_STAT1999_decoded,ok,6703,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,PRIM,PRIM
clean_STAT2000_decoded,ok,6546,F5 | P4 | Дата возникновения пожара,F171 | OKATOPP | Населенный пункт,,F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,PRIM,PRIM
