column,pcode,description,dictionary,mapped_rows,coverage,candidate_matches
F1,P1,,,0,0.0,
F2,P2,Код органа – составителя карточки,rayon,8725,1.0,8725.0
F3,P3_1,"Номер карточки, основная (О)",,0,0.0,
F4,P3_2,Номер карточки дополнительная,,0,0.0,
F5,P4,Дата возникновения пожара,,0,0.0,
F6,P5_1,Вид: населенного пункта,frSF05_1,8727,1.0,8727.0
F7,P5_2,пожарной охраны населенного пункта,vid_oxp,8625,0.9885,8627.0
F8,P6,Форма собственности,sobst,3872,1.0,8727.0
F9,P7,Организационно-правовая форма,formorg,618,0.2089,6386.0
F10,P8,Ведомственная принадлежность,ministry,0,0.0,8503.0
F11,P9,"Тип предприятия, организации, учреждения",tippr,3946,1.0,8727.0
F12,P10_1,Объект пожара,object_09,7523,0.862,7523.0
F13,P10_2,Вид охраны объекта,vid_oxpo,8592,0.9999,8726.0
F14,P11_1,Этажность здания,,0,0.0,
F15,P11_2,"этаж, на котором возник пожар",,0,0.0,
F16,P12,Степень огнестойкости,ognest,677,0.2488,6681.0
F17,P13_1,Место возникновения,plase,3492,0.4002,3494.0
F17A,P13_2,тип места,plase,6417,1.0,8727.0
F18,P14,"Изделие, устройство, материал",izdel,1876,0.4368,6308.0
F19,P15,Причина пожара,prich,3339,0.8331,8058.0
F20,P16_1,Виновное лицо,vinov,1662,0.4132,6367.0
F21,P16_2,алкогольное (наркотическое) опьянение,sostvin,0,0.0,5201.0
F22,P16_3,(состояние не установлено),,0,0.0,
F23,P17,Возраст виновного лица,,0,0.0,
F24,P18_1,Результат дознания по пожару,ud,1821,0.209,1837.0
F24A,P18_2,прохождение дела,udwho,86,1.0,8727.0
F24B,P18_3,кем возбуждено,udst,84,0.9767,8725.0
F25,P19,Дата последнего детального обследования,,0,0.0,
F26,P20,"Расстояние до пожарной части, км",,0,0.0,
F27,P21_1,Погибло людей: всего,,0,0.0,
F28,P21_2,В том числе детей,,0,0.0,
F29,P21_3,работников ПО,,0,0.0,
F30,P22_1,Получили травмы: всего,,0,0.0,
F31,P22_2,В том числе детей,,0,0.0,
F32,P22_3,работников ПО,,0,0.0,
F33,P23_1,"Условия, способствовавшие получению травм",usl_tra,74,0.6789,8692.0
F34,P23_2,,,0,0.0,
F35,P23_3,,,0,0.0,
F36,P24,Прямой ущерб,,0,0.0,
F37,P25,По основным фондам,,0,0.0,
F38,P26,По оборотным средствам,,0,0.0,
F39,P27_1,УНИЧТОЖЕНО: Строений,,0,0.0,
F40,P27_2,Единиц,,0,0.0,
F41,P28_1,Жилых квартир,,0,0.0,
F42,P28_2,"Комнат, ед",,0,0.0,
F43,P29_1,Поэтажной площади,,0,0.0,
F44,P29_2,Кв.м.,,0,0.0,
F45,P30_1,"Автотракторной техники, ед.",,0,0.0,
F46,P30_2,"Другой техники, ед.",,0,0.0,
F47,P31_1,Зерновых культур,,0,0.0,
F48,P31_2,зернобобовых культур,,0,0.0,
F49,P32_1,Кормов,,0,0.0,
F50,P32_2,Тонн,,0,0.0,
F51,P33_1,Технических культур,,0,0.0,
F52,P33_2,Тонн,,0,0.0,
F53,P34,Скота крупного голов,,0,0.0,
F54,P35,Скота мелкого голов,,0,0.0,
F55,P36,"Птицы , штук",,0,0.0,
F56,P37,СПАСЕНО: людей,,0,0.0,
F57,P38_1,Скота: крупного,,0,0.0,
F58,P38_2,Скота: мелкого,,0,0.0,
F59,P39,Автотракторной и др. техники,,0,0.0,
F60,P40,"Материальных ценностей, руб",,0,0.0,
F61,P41_1,"Время обнаружения, час.",,0,0.0,
F62,P41_2,"Время обнаружения, мин.",,0,0.0,
F63,P42_1,"Время сообщения, час.",,0,0.0,
F64,P42_2,"Время сообщения, мин.",,0,0.0,
F65,P43_1,"Время прибытия 1 пож. подразделения, час",,0,0.0,
F66,P43_2,"Время прибытия 1 пож. подразделения, мин.",,0,0.0,
F67,P44_1,"Время локализации, час",,0,0.0,
F68,P44_2,"Время локализации, мин",,0,0.0,
F69,P45_1,"Время ликвидации, час",,0,0.0,
F70,P45_2,"Время ликвидации, мин",,0,0.0,
F71,P46,Дата ликвидации,,0,0.0,
F72,P47_1,"Условия, способствовавшие развитию пожара",usl_razv,1349,0.7566,8291.0
F73,P47_2,,usl_razv,102,0.7445,8690.0
F74,P47_3,,usl_razv,28,0.7568,8716.0
